ID	DOCULECT	CONCEPT	FORM	TOKENS	ATTESTED	ANCESTOR	RELATION	PROCESS	COGID	ROOT	STEM	ALIGNMENT	WORD_CLASS	INFLECTION_CLASS	CASE	GENDER	QUESTIONMARK	SQUAREBRACKET	UNSURE	NOTES
1	Indo-European	als Anteil bekommen	bʰag-	bʱ a ɢ	0				0	bʰag	1		root							
2	Indo-European	?	bʰā́g-	bʱ ˈaː ɢ	0	1	derivation	lengthened grade	0	bʰag	1									
3	Indo-European	?	bʰā́gs	bʱ ˈaː ɢ s	0	2	inflection	n.sg.	1	bʰag	0	bʱ ˈaː ɢ s			n.sg.					
4	Vedic	?	-bhā́j-	bʱ ˈaː dʓ	0	2	inheritance	inheritance	0	bʰag	1									
5	Vedic	?	bhā́k	bʱ ˈaː k	0	4	inflection	n.sg.	1	bʰag	0	bʱ ˈaː k -			n.sg.					
6	Vedic	Nahrung genießend	pitu-bhā́j-	p i t u bʱ ˈaː dʓ	0	4	compound	compound2 with 0 p i t u	0	bʰag	1		adjective							
7	Vedic	Nahrung genießend	pitu-bhā́k	p i t u bʱ ˈaː k	1	6	inflection	n.sg.masculine	0	bʰag	0	p i t u bʱ ˈaː k	adjective		n.sg.	masculine				
8	Indo-European	?	bʰag-ón-	bʱ a ɢ ˈɔ n	0	1	suffixation	suffix: ˈɔ n	0	bʰag	1		substantive							
9	Indo-European	?	bʰagónes	bʱ a ɢ ˈɔ n ɛ s	0	8	inflection	n.pl.	2	bʰag	0	bʱ a ɢ ˈɔ n ɛ s	substantive		n.pl.					
10	Greek	σιαγόνες, γνάθοι, Kiefer	φαγόν-	pʰ a g ˈɔ n	0	8	inheritance	inheritance	0	bʰag	1		substantive							
11	Greek	σιαγόνες, γνάθοι, Kiefer	φαγόνες	pʰ a g ˈɔ n ɛ s	1	10	inflection	n.pl.	2	bʰag	0	pʰ a g ˈɔ n ɛ s	substantive		n.pl.					
12	Indo-European	?	bʰag-tor-	bʱ a ɢ t ɔ ɾ	0	1	suffixation	suffix: t ɔ ɾ	0	bʰag	1					masculine				
13	Indo-European	?	bʰagtōr	bʱ a ɢ t ɔː ɾ	0	12	inflection	n.sg.	3	bʰag	0	bʱ a ɢ t ɔː ɾ			n.sg.	masculine				
14	Vedic	?	-bhaktar-	bʱ ɐ k t ɐ ɾ	0	12	inheritance	inheritance	0	bʰag	1					masculine				
15	Vedic	?	bhaktā́	bʱ ɐ k t ˈaː	0	14	inflection	n.sg.	3	bʰag	0	bʱ ɐ k t ˈaː -			n.sg.	masculine				
